age_years,c3_cm,c10_cm,c25_cm,c50_cm,c75_cm,c90_cm,c97_cm
3,91.0,93.0,95.5,98,100.5,103.0,105.0
4,96.6,98.7,101.3,104,106.7,109.3,111.4
5,102.2,104.5,107.2,110,112.8,115.5,117.8
6,107.8,110.2,113.0,116,119.0,121.8,124.2
7,113.4,115.9,118.8,122,125.2,128.1,130.6
8,119.0,121.7,124.7,128,131.3,134.3,137.0
9,124.6,127.4,130.5,134,137.5,140.6,143.4
10,130.2,133.1,136.3,140,143.7,146.9,149.8
11,135.8,138.9,142.2,146,149.8,153.1,156.2
12,141.4,144.6,148.0,152,156.0,159.4,162.6
13,147.0,150.3,153.8,158,162.2,165.7,169.0
14,153.6,157.1,160.7,165,169.3,172.9,176.4
15,159.2,162.8,166.5,171,175.5,179.2,182.8
16,162.8,166.5,170.3,175,179.7,183.5,187.2
17,164.4,168.3,172.2,177,181.8,185.7,189.6
18,165.0,169.0,173.0,178,183.0,187.0,191.0
