age_years,c3_kg,c10_kg,c25_kg,c50_kg,c75_kg,c90_kg,c97_kg
3,11.5,12.5,13.5,14.5,15.5,16.5,18.0
4,13.0,14.0,15.0,16.2,17.5,19.0,21.0
5,14.5,15.8,17.0,18.5,20.5,22.5,25.0
6,16.0,17.5,19.0,20.8,23.0,25.5,29.0
7,17.5,19.0,21.0,23.5,26.0,29.0,33.0
8,19.0,21.0,23.5,26.5,30.0,34.0,39.0
9,21.0,23.5,26.5,30.0,34.5,39.5,46.0
10,23.5,26.5,30.0,34.5,40.0,46.0,53.0
11,26.5,30.0,34.0,39.0,45.0,52.0,60.0
12,30.0,34.0,38.0,44.0,50.0,58.0,66.0
13,34.0,38.0,43.0,49.0,56.0,64.0,72.0
14,38.0,42.0,47.0,53.0,60.0,68.0,76.0
15,41.0,45.0,50.0,56.0,63.0,71.0,78.0
16,43.0,47.0,52.0,58.0,65.0,73.0,79.0
17,44.0,48.0,53.0,59.0,66.0,74.0,80.0
18,45.0,49.0,54.0,60.0,67.0,75.0,80.0
