age_years,c3_kg,c10_kg,c25_kg,c50_kg,c75_kg,c90_kg,c97_kg
3,11.5,12.5,13.5,14.5,15.5,16.5,18.0
4,13.0,14.0,15.0,16.3,17.5,19.0,21.0
5,14.5,15.8,17.2,18.8,20.8,23.0,25.5
6,16.0,17.5,19.0,21.0,23.5,26.0,29.0
7,17.5,19.0,21.0,23.5,26.5,29.5,33.0
8,19.0,21.0,23.5,26.5,30.0,34.0,38.0
9,21.0,23.5,26.0,29.5,33.5,38.0,43.0
10,23.0,25.5,28.5,32.0,36.5,41.0,47.0
11,25.0,28.0,31.5,36.0,41.0,47.0,54.0
12,28.0,31.5,36.0,41.0,47.0,54.0,62.0
13,32.0,36.0,41.0,47.0,54.0,62.0,71.0
14,37.0,41.0,47.0,53.0,61.0,70.0,80.0
15,43.0,47.0,53.0,60.0,68.0,78.0,89.0
16,48.0,52.0,58.0,66.0,75.0,86.0,96.0
17,52.0,56.0,62.0,70.0,79.0,90.0,100.0
18,55.0,59.0,65.0,73.0,82.0,93.0,100.0
